DATAFLOW,LAST UPDATE,freq,geo,unit,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Italy,Grams per kilometre,2020,132.5,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Italy,Grams per kilometre,2021,120.3,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Italy,Grams per kilometre,2022,119.2,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Italy,Grams per kilometre,2023,120.1,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Lithuania,Grams per kilometre,2014,135.8,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Lithuania,Grams per kilometre,2015,130,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Lithuania,Grams per kilometre,2016,126.2,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Lithuania,Grams per kilometre,2017,154.4,be,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Lithuania,Grams per kilometre,2018,155.9,e,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Lithuania,Grams per kilometre,2019,160,e,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Lithuania,Grams per kilometre,2020,146.2,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Lithuania,Grams per kilometre,2021,135.7,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Lithuania,Grams per kilometre,2022,135.9,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Lithuania,Grams per kilometre,2023,129.9,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Luxembourg,Grams per kilometre,2014,129.9,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Luxembourg,Grams per kilometre,2015,127.5,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Luxembourg,Grams per kilometre,2016,126.1,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Luxembourg,Grams per kilometre,2017,153.9,be,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Luxembourg,Grams per kilometre,2018,159.3,e,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Luxembourg,Grams per kilometre,2019,161.2,e,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Luxembourg,Grams per kilometre,2020,143.9,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Luxembourg,Grams per kilometre,2021,123.8,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Luxembourg,Grams per kilometre,2022,115.7,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Luxembourg,Grams per kilometre,2023,105.8,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Latvia,Grams per kilometre,2014,140.4,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Latvia,Grams per kilometre,2015,137.1,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Latvia,Grams per kilometre,2016,128.9,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Latvia,Grams per kilometre,2017,156.1,be,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Latvia,Grams per kilometre,2018,156.1,e,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Latvia,Grams per kilometre,2019,155,e,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Latvia,Grams per kilometre,2020,146.8,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Latvia,Grams per kilometre,2021,142.6,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Latvia,Grams per kilometre,2022,134.6,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Latvia,Grams per kilometre,2023,132.1,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Malta,Grams per kilometre,2014,115.3,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Malta,Grams per kilometre,2015,113.3,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Malta,Grams per kilometre,2016,111.8,,
