statinfo,unit,stk_flow,country,year,value
Thirty-year average,"Current prices, euro per capita",Losses,Croatia,2019,30.29
Thirty-year average,"Current prices, euro per capita",Losses,Croatia,2020,31.1
Thirty-year average,"Current prices, euro per capita",Losses,Croatia,2021,31.38
Thirty-year average,"Current prices, euro per capita",Losses,Croatia,2022,34.6
Thirty-year average,"Current prices, euro per capita",Losses,Croatia,2023,35.91
Thirty-year average,"Current prices, euro per capita",Losses,Hungary,2009,23.52
Thirty-year average,"Current prices, euro per capita",Losses,Hungary,2010,25.74
Thirty-year average,"Current prices, euro per capita",Losses,Hungary,2011,25.91
Thirty-year average,"Current prices, euro per capita",Losses,Hungary,2012,26.16
Thirty-year average,"Current prices, euro per capita",Losses,Hungary,2013,26.41
Thirty-year average,"Current prices, euro per capita",Losses,Hungary,2014,26.61
Thirty-year average,"Current prices, euro per capita",Losses,Hungary,2015,26.81
Thirty-year average,"Current prices, euro per capita",Losses,Hungary,2016,16.59
Thirty-year average,"Current prices, euro per capita",Losses,Hungary,2017,16.74
Thirty-year average,"Current prices, euro per capita",Losses,Hungary,2018,16.8
Thirty-year average,"Current prices, euro per capita",Losses,Hungary,2019,16.87
Thirty-year average,"Current prices, euro per capita",Losses,Hungary,2020,16.95
Thirty-year average,"Current prices, euro per capita",Losses,Hungary,2021,17.14
Thirty-year average,"Current prices, euro per capita",Losses,Hungary,2022,19.94
Thirty-year average,"Current prices, euro per capita",Losses,Hungary,2023,20.07
Thirty-year average,"Current prices, euro per capita",Losses,Ireland,2009,11.95
Thirty-year average,"Current prices, euro per capita",Losses,Ireland,2010,11.72
Thirty-year average,"Current prices, euro per capita",Losses,Ireland,2011,13.9
Thirty-year average,"Current prices, euro per capita",Losses,Ireland,2012,13.84
Thirty-year average,"Current prices, euro per capita",Losses,Ireland,2013,14.59
Thirty-year average,"Current prices, euro per capita",Losses,Ireland,2014,20.55
Thirty-year average,"Current prices, euro per capita",Losses,Ireland,2015,22.1
Thirty-year average,"Current prices, euro per capita",Losses,Ireland,2016,21.66
Thirty-year average,"Current prices, euro per capita",Losses,Ireland,2017,23.41
Thirty-year average,"Current prices, euro per capita",Losses,Ireland,2018,21.91
Thirty-year average,"Current prices, euro per capita",Losses,Ireland,2019,21.9
Thirty-year average,"Current prices, euro per capita",Losses,Ireland,2020,21.71
Thirty-year average,"Current prices, euro per capita",Losses,Ireland,2021,21.37
Thirty-year average,"Current prices, euro per capita",Losses,Ireland,2022,20.95
Thirty-year average,"Current prices, euro per capita",Losses,Ireland,2023,21.79
Thirty-year average,"Current prices, euro per capita",Losses,Iceland,2009,2.3
Thirty-year average,"Current prices, euro per capita",Losses,Iceland,2010,2.31
Thirty-year average,"Current prices, euro per capita",Losses,Iceland,2011,2.3
Thirty-year average,"Current prices, euro per capita",Losses,Iceland,2012,2.6
Thirty-year average,"Current prices, euro per capita",Losses,Iceland,2013,2.57
Thirty-year average,"Current prices, euro per capita",Losses,Iceland,2014,2.55
Thirty-year average,"Current prices, euro per capita",Losses,Iceland,2015,2.52
Thirty-year average,"Current prices, euro per capita",Losses,Iceland,2016,2.48
Thirty-year average,"Current prices, euro per capita",Losses,Iceland,2017,2.43
Thirty-year average,"Current prices, euro per capita",Losses,Iceland,2018,2.36
Thirty-year average,"Current prices, euro per capita",Losses,Iceland,2019,2.31
Thirty-year average,"Current prices, euro per capita",Losses,Iceland,2020,2.27
Thirty-year average,"Current prices, euro per capita",Losses,Iceland,2021,2.24
Thirty-year average,"Current prices, euro per capita",Losses,Iceland,2022,2.18
Thirty-year average,"Current prices, euro per capita",Losses,Iceland,2023,2.12
Thirty-year average,"Current prices, euro per capita",Losses,Italy,2009,33.78
Thirty-year average,"Current prices, euro per capita",Losses,Italy,2010,34.01
Thirty-year average,"Current prices, euro per capita",Losses,Italy,2011,34.75
Thirty-year average,"Current prices, euro per capita",Losses,Italy,2012,32.42
Thirty-year average,"Current prices, euro per capita",Losses,Italy,2013,32.32
Thirty-year average,"Current prices, euro per capita",Losses,Italy,2014,33.13
Thirty-year average,"Current prices, euro per capita",Losses,Italy,2015,34.88
Thirty-year average,"Current prices, euro per capita",Losses,Italy,2016,35.85
Thirty-year average,"Current prices, euro per capita",Losses,Italy,2017,38.78
