aquaenv,country,year,value
Coastal water excellent - %,Finland,2012,70.2
Coastal water excellent - %,Finland,2013,65.9
Coastal water excellent - %,Finland,2014,63.0
Coastal water excellent - %,Finland,2015,62.3
Coastal water excellent - %,Finland,2016,58.4
Coastal water excellent - %,Finland,2017,68.8
Coastal water excellent - %,Finland,2018,65.8
Coastal water excellent - %,Finland,2019,63.6
Coastal water excellent - %,Finland,2020,71.8
Coastal water excellent - %,Finland,2021,66.7
Coastal water excellent - %,Finland,2022,73.1
Coastal water excellent - %,Finland,2023,65.4
Coastal water excellent - %,France,2011,65.4
Coastal water excellent - %,France,2012,66.3
Coastal water excellent - %,France,2013,75.6
Coastal water excellent - %,France,2014,77.3
