watpol,unit,country,year,value
Phosphate in rivers,Milligrams per litre,Lithuania,2021,0.204
Phosphate in rivers,Milligrams per litre,Lithuania,2022,0.159
Phosphate in rivers,Milligrams per litre,Latvia,2000,0.029
Phosphate in rivers,Milligrams per litre,Latvia,2001,0.033
Phosphate in rivers,Milligrams per litre,Latvia,2002,0.028
Phosphate in rivers,Milligrams per litre,Latvia,2003,0.034
Phosphate in rivers,Milligrams per litre,Latvia,2004,0.026
Phosphate in rivers,Milligrams per litre,Latvia,2005,0.023
Phosphate in rivers,Milligrams per litre,Latvia,2006,0.031
Phosphate in rivers,Milligrams per litre,Latvia,2007,0.022
Phosphate in rivers,Milligrams per litre,Latvia,2008,0.021
Phosphate in rivers,Milligrams per litre,Latvia,2009,0.015
Phosphate in rivers,Milligrams per litre,Latvia,2010,0.026
Phosphate in rivers,Milligrams per litre,Latvia,2011,0.021
Phosphate in rivers,Milligrams per litre,Latvia,2012,0.02
Phosphate in rivers,Milligrams per litre,Latvia,2013,0.017
Phosphate in rivers,Milligrams per litre,Latvia,2014,0.017
Phosphate in rivers,Milligrams per litre,Latvia,2015,0.013
Phosphate in rivers,Milligrams per litre,Latvia,2016,0.019
Phosphate in rivers,Milligrams per litre,Latvia,2017,0.019
Phosphate in rivers,Milligrams per litre,Latvia,2018,0.018
Phosphate in rivers,Milligrams per litre,Latvia,2019,0.019
Phosphate in rivers,Milligrams per litre,Latvia,2020,0.02
Phosphate in rivers,Milligrams per litre,Latvia,2021,0.017
Phosphate in rivers,Milligrams per litre,Latvia,2022,0.02
Phosphate in rivers,Milligrams per litre,North Macedonia,2000,0.473
Phosphate in rivers,Milligrams per litre,North Macedonia,2001,0.271
Phosphate in rivers,Milligrams per litre,North Macedonia,2002,0.397
Phosphate in rivers,Milligrams per litre,North Macedonia,2003,0.444
Phosphate in rivers,Milligrams per litre,North Macedonia,2004,0.411
Phosphate in rivers,Milligrams per litre,North Macedonia,2005,0.239
Phosphate in rivers,Milligrams per litre,North Macedonia,2006,0.196
Phosphate in rivers,Milligrams per litre,North Macedonia,2007,0.239
Phosphate in rivers,Milligrams per litre,North Macedonia,2008,0.235
Phosphate in rivers,Milligrams per litre,North Macedonia,2009,0.246
Phosphate in rivers,Milligrams per litre,North Macedonia,2010,0.159
Phosphate in rivers,Milligrams per litre,North Macedonia,2011,0.192
Phosphate in rivers,Milligrams per litre,North Macedonia,2012,0.221
Phosphate in rivers,Milligrams per litre,North Macedonia,2013,0.062
Phosphate in rivers,Milligrams per litre,North Macedonia,2014,0.094
Phosphate in rivers,Milligrams per litre,North Macedonia,2015,0.063
Phosphate in rivers,Milligrams per litre,North Macedonia,2016,0.066
Phosphate in rivers,Milligrams per litre,North Macedonia,2017,0.085
Phosphate in rivers,Milligrams per litre,North Macedonia,2018,0.065
Phosphate in rivers,Milligrams per litre,North Macedonia,2019,0.094
Phosphate in rivers,Milligrams per litre,North Macedonia,2020,0.09
Phosphate in rivers,Milligrams per litre,North Macedonia,2021,0.079
Phosphate in rivers,Milligrams per litre,North Macedonia,2022,0.081
Phosphate in rivers,Milligrams per litre,Norway,2000,0.003
Phosphate in rivers,Milligrams per litre,Norway,2001,0.003
Phosphate in rivers,Milligrams per litre,Norway,2002,0.004
Phosphate in rivers,Milligrams per litre,Norway,2003,0.002
Phosphate in rivers,Milligrams per litre,Norway,2004,0.003
Phosphate in rivers,Milligrams per litre,Norway,2005,0.002
Phosphate in rivers,Milligrams per litre,Norway,2006,0.003
Phosphate in rivers,Milligrams per litre,Norway,2007,0.005
Phosphate in rivers,Milligrams per litre,Norway,2008,0.003
Phosphate in rivers,Milligrams per litre,Norway,2009,0.003
Phosphate in rivers,Milligrams per litre,Norway,2010,0.004
Phosphate in rivers,Milligrams per litre,Norway,2011,0.005
Phosphate in rivers,Milligrams per litre,Norway,2012,0.005
Phosphate in rivers,Milligrams per litre,Norway,2013,0.005
Phosphate in rivers,Milligrams per litre,Norway,2014,0.005
Phosphate in rivers,Milligrams per litre,Norway,2015,0.003
Phosphate in rivers,Milligrams per litre,Norway,2016,0.003
Phosphate in rivers,Milligrams per litre,Norway,2017,0.004
Phosphate in rivers,Milligrams per litre,Norway,2018,0.004
Phosphate in rivers,Milligrams per litre,Norway,2019,0.004
Phosphate in rivers,Milligrams per litre,Norway,2020,0.004
Phosphate in rivers,Milligrams per litre,Norway,2021,0.005
Phosphate in rivers,Milligrams per litre,Norway,2022,0.004
Phosphate in rivers,Milligrams per litre,Romania,2000,0.152
Phosphate in rivers,Milligrams per litre,Romania,2001,0.152
Phosphate in rivers,Milligrams per litre,Romania,2002,0.146
Phosphate in rivers,Milligrams per litre,Romania,2003,0.161
Phosphate in rivers,Milligrams per litre,Romania,2004,0.115
Phosphate in rivers,Milligrams per litre,Romania,2005,0.121
Phosphate in rivers,Milligrams per litre,Romania,2006,0.108
Phosphate in rivers,Milligrams per litre,Romania,2007,0.131
Phosphate in rivers,Milligrams per litre,Romania,2008,0.128
Phosphate in rivers,Milligrams per litre,Romania,2009,0.128
Phosphate in rivers,Milligrams per litre,Romania,2010,0.085
Phosphate in rivers,Milligrams per litre,Romania,2011,0.091
Phosphate in rivers,Milligrams per litre,Romania,2012,0.103
Phosphate in rivers,Milligrams per litre,Romania,2013,0.091
Phosphate in rivers,Milligrams per litre,Romania,2014,0.102
Phosphate in rivers,Milligrams per litre,Romania,2015,0.106
Phosphate in rivers,Milligrams per litre,Romania,2016,0.086
Phosphate in rivers,Milligrams per litre,Romania,2017,0.081
Phosphate in rivers,Milligrams per litre,Romania,2018,0.095
Phosphate in rivers,Milligrams per litre,Romania,2019,0.097
Phosphate in rivers,Milligrams per litre,Romania,2020,0.108
Phosphate in rivers,Milligrams per litre,Romania,2021,0.088
Phosphate in rivers,Milligrams per litre,Romania,2022,0.103
Phosphate in rivers,Milligrams per litre,Serbia,2000,0.076
Phosphate in rivers,Milligrams per litre,Serbia,2001,0.079
Phosphate in rivers,Milligrams per litre,Serbia,2002,0.077
Phosphate in rivers,Milligrams per litre,Serbia,2003,0.087
